1,Push-ups - 3x10
2,Squats - 3x10
3,Lunges - 3x10
4,Pull-ups - 3x10
5,Deadlifts - 3x10
6,Burpees - 3x10
7,Planks - 1 min
8,Mountain climbers - 3x50
9,Jumping jacks - 3x30
10,Bicycle crunches - 3x20
11,Russian twists - 3x10
12,Wall sits - 1 min
13,Dumbbell bicep curls - 3x10
14,Tricep dips - 3x10
15,Shoulder press - 3x10
16,Bent-over rows - 3x10
17,Leg press - 3x10
18,Box jumps - 3x10
19,Jump rope - 1 min
20,Side lunges - 3x10
21,Romanian deadlifts - 3x10
22,Calf raises - 3x10
23,Front squats - 3x10
24,Kettlebell swings - 3x10
25,Medicine ball slams - 3x10
26,Bench press - 3x10
27,Dumbbell flyes - 3x10
28,Russian kettlebell twists - 3x10
29,Plank jacks - 3x10
30,Superman - 1 min
31,Flutter kicks - 3x25
32,Hollow body hold - 1 min
33,Renegade rows - 3x10
34,Overhead tricep extension - 3x10
35,Jumping lunges - 3x10
36,Stability ball crunches - 3x10
37,TRX rows - 3x10
38,Box squats - 3x10
39,Step-ups - 3x10
40,Battle ropes - 3x10
41,Farmer's walk - 1 min
42,Glute bridges - 3x10
43,Reverse crunches - 3x30
44,Woodchoppers - 3x10
45,Lateral raises - 3x10
46,Bulgarian split squats - 3x10
47,Cable chest flyes - 3x10
48,Skull crushers - 3x10
49,Leg curls - 3x10
50,V-sit-ups - 3x15
51,Running - 15 min
52,Cycling - 30 min
53,Freestyle swimming - 15 min
54,Butterfly swimming - 15 min
55,Breaststroke swimming - 15 min
56,Backstroke swimming - 15 min
57,Rowing - 15 min
58,Stair Climbing - 5 min
59,Elliptical Trainer - 30 min
60,Kickboxing - 30 min
61,Zumba - 1 hr
